Date,Open,High,Low,Close,Adj Close,Volume
2015-04-10,39500.000000,39500.000000,39300.000000,39400.000000,35467.042969,1134200
2015-04-13,39775.000000,39775.000000,39000.000000,39775.000000,35804.617188,1309900
2015-04-14,39775.000000,39775.000000,38500.000000,38750.000000,34881.929688,2352700
2015-04-15,39200.000000,39200.000000,38300.000000,38625.000000,34769.410156,1601500
2015-04-16,38625.000000,38925.000000,37675.000000,38100.000000,34296.816406,3174200
2015-04-17,38250.000000,38650.000000,38125.000000,38125.000000,34319.316406,1193800
2015-04-20,38400.000000,38625.000000,38275.000000,38400.000000,34566.867188,1225900
2015-04-21,38700.000000,40000.000000,38675.000000,40000.000000,36007.148438,2415400
2015-04-22,40000.000000,41075.000000,39200.000000,40350.000000,36322.214844,3475600
2015-04-23,40525.000000,42500.000000,40450.000000,41750.000000,37582.464844,2926800
2015-04-24,43000.000000,43425.000000,42500.000000,43000.000000,38707.691406,2003000
2015-04-27,40300.000000,43000.000000,40300.000000,42075.000000,37875.023438,2170000
2015-04-28,42075.000000,44500.000000,41225.000000,44500.000000,40057.957031,2020400
2015-04-29,44500.000000,44500.000000,39600.000000,42250.000000,38032.550781,4907400
2015-04-30,41500.000000,44100.000000,40500.000000,42600.000000,38347.617188,4228100
2015-05-04,42600.000000,44100.000000,42600.000000,43000.000000,38707.691406,1383700
2015-05-05,43100.000000,44300.000000,43100.000000,44175.000000,39765.394531,2123000
2015-05-06,43300.000000,46000.000000,43300.000000,45175.000000,40665.574219,2621600
2015-05-07,45175.000000,45500.000000,43400.000000,43400.000000,39067.757813,1769600
2015-05-08,44500.000000,44800.000000,44000.000000,44000.000000,39607.867188,1773700
2015-05-11,44100.000000,44450.000000,43575.000000,43650.000000,39292.808594,538600
2015-05-12,43900.000000,43900.000000,42500.000000,42500.000000,38257.601563,1740200
2015-05-13,43500.000000,43500.000000,42300.000000,42300.000000,38077.562500,1547800
2015-05-15,42150.000000,43750.000000,42150.000000,43500.000000,39157.777344,1540300
2015-05-18,43550.000000,43875.000000,43150.000000,43850.000000,39472.839844,782600
2015-05-19,43800.000000,43950.000000,43150.000000,43850.000000,39472.839844,1799000
2015-05-20,43850.000000,43850.000000,43350.000000,43350.000000,39022.750000,1197100
2015-05-21,43425.000000,43775.000000,42725.000000,42850.000000,38572.664063,1290500
2015-05-22,43500.000000,43900.000000,43000.000000,43775.000000,39405.328125,1897500
2015-05-25,43775.000000,44550.000000,43775.000000,44400.000000,39967.937500,1389800
2015-05-26,44250.000000,46000.000000,44125.000000,45725.000000,41160.675781,2922700
2015-05-27,45725.000000,45775.000000,44350.000000,44500.000000,40057.957031,1574700
2015-05-28,44950.000000,45125.000000,44575.000000,44950.000000,40463.035156,4047400
2015-05-29,44750.000000,45400.000000,43300.000000,43300.000000,38977.746094,4156600
2015-06-01,43500.000000,43700.000000,43000.000000,43200.000000,38887.726563,1022700
2015-06-03,43300.000000,43675.000000,42500.000000,43600.000000,39247.796875,1879500
2015-06-04,43150.000000,43575.000000,42650.000000,42650.000000,38392.621094,2597500
2015-06-05,42500.000000,42600.000000,42000.000000,42150.000000,37942.535156,1779400
2015-06-08,42100.000000,42150.000000,40900.000000,41550.000000,37402.433594,2599800
2015-06-09,41550.000000,41550.000000,39500.000000,39700.000000,35737.101563,3370700
2015-06-10,39700.000000,41575.000000,39700.000000,41350.000000,37222.390625,2088000
2015-06-11,41500.000000,41950.000000,40400.000000,40650.000000,36592.261719,2320000
2015-06-12,40800.000000,41700.000000,40800.000000,41225.000000,37109.871094,747200
2015-06-15,40900.000000,41150.000000,40300.000000,40300.000000,36277.207031,1217300
2015-06-16,40000.000000,40725.000000,40000.000000,40000.000000,36382.710938,1056200
2015-06-17,40400.000000,41175.000000,40400.000000,40925.000000,37224.062500,1317700
2015-06-18,40925.000000,41575.000000,40925.000000,41500.000000,37747.066406,1469000
2015-06-19,41500.000000,42000.000000,41450.000000,41450.000000,37701.585938,1693500
2015-06-22,41700.000000,41700.000000,41025.000000,41550.000000,37792.550781,855800
2015-06-23,41550.000000,42125.000000,40500.000000,40500.000000,36837.500000,1260800
2015-06-24,41275.000000,41400.000000,41200.000000,41400.000000,37656.105469,1506600
2015-06-25,41400.000000,41475.000000,40775.000000,40775.000000,37087.636719,1446000
2015-06-26,40800.000000,41100.000000,39300.000000,40000.000000,36382.710938,3001300
2015-06-29,40000.000000,40000.000000,39300.000000,39625.000000,36041.625000,1946600
2015-06-30,39625.000000,40975.000000,39500.000000,39500.000000,35927.929688,2744600
2015-07-01,39900.000000,40450.000000,39800.000000,40000.000000,36382.710938,1035100
2015-07-02,40050.000000,40975.000000,40050.000000,40325.000000,36678.324219,1437000
2015-07-03,40325.000000,41375.000000,40300.000000,41375.000000,37633.367188,813300
2015-07-06,40850.000000,41300.000000,40500.000000,40500.000000,36837.500000,666300
2015-07-07,40600.000000,40775.000000,39850.000000,40250.000000,36610.105469,1715600
2015-07-08,41200.000000,41200.000000,40100.000000,40700.000000,37019.414063,1622500
2015-07-09,40325.000000,40425.000000,39875.000000,40100.000000,36473.671875,1965400
2015-07-10,40500.000000,40500.000000,40125.000000,40200.000000,36564.625000,1225800
